placement_id,academic_year,student_id,company_id,offer_status,offered_ctc_lpa,primary_skill_at_hire,had_ai_data_skill
PLACE_00045,2023,USN_2025_287,COMP_012,Placed,8.50,DATABRICKS_DE,1
PLACE_00046,2023,USN_2025_290,,Not Placed,0.00,DATABRICKS_DE,1
PLACE_00047,2023,USN_2025_307,,Not Placed,0.00,DATABRICKS_DE,1
PLACE_00048,2023,USN_2025_316,,Not Placed,0.00,DATABRICKS_DE,1
PLACE_00049,2023,USN_2025_319,,Not Placed,0.00,DATABRICKS_DE,1
PLACE_00050,2023,USN_2025_321,,Not Placed,0.00,DATABRICKS_DE,1
PLACE_00051,2024,USN_2025_042,COMP_001,Placed,48.00,DATABRICKS_DE,1
PLACE_00052,2024,USN_2025_202,COMP_001,Placed,48.00,PYSPARK,1
PLACE_00053,2024,USN_2025_205,COMP_001,Placed,48.00,DATABRICKS_DE,1
PLACE_00054,2024,USN_2025_207,COMP_003,Placed,42.00,PYSPARK,1
PLACE_00055,2024,USN_2025_211,COMP_005,Placed,32.00,PYSPARK,1
PLACE_00056,2024,USN_2025_216,COMP_006,Placed,28.00,DATABRICKS_DE,1
PLACE_00057,2024,USN_2025_220,COMP_006,Placed,28.00,PYSPARK,1
PLACE_00058,2024,USN_2025_221,COMP_007,Placed,26.00,DATABRICKS_DE,1
PLACE_00059,2024,USN_2025_223,COMP_007,Placed,26.00,PYSPARK,1
PLACE_00060,2024,USN_2025_232,COMP_008,Placed,24.00,DATABRICKS_DE,1
PLACE_00061,2024,USN_2025_233,COMP_008,Placed,24.00,PYSPARK,1
PLACE_00062,2024,USN_2025_236,COMP_009,Placed,20.00,DATABRICKS_DE,1
PLACE_00063,2024,USN_2025_243,COMP_009,Placed,20.00,PYSPARK,1
PLACE_00064,2023,USN_2025_245,COMP_009,Placed,20.00,DATABRICKS_DE,1
PLACE_00065,2023,USN_2025_252,COMP_010,Placed,18.00,PYSPARK,1
PLACE_00066,2023,USN_2025_253,COMP_010,Placed,18.00,DATABRICKS_DE,1
PLACE_00067,2023,USN_2025_254,COMP_011,Placed,9.00,PYSPARK,1
PLACE_00068,2023,USN_2025_259,COMP_011,Placed,9.00,DATABRICKS_DE,1
PLACE_00069,2023,USN_2025_277,COMP_012,Placed,8.40,DATABRICKS_DE,1
PLACE_00070,2023,USN_2025_287,COMP_013,Placed,7.00,PYSPARK,1
PLACE_00071,2023,USN_2025_290,COMP_013,Placed,7.00,PYSPARK,1
PLACE_00072,2023,USN_2025_307,COMP_013,Placed,7.00,PYSPARK,1
PLACE_00073,2023,USN_2025_316,COMP_013,Placed,7.00,PYSPARK,1
PLACE_00074,2023,USN_2025_319,,Not Placed,0.00,DATABRICKS_DE,1
PLACE_00075,2023,USN_2025_321,,Not Placed,0.00,DATABRICKS_DE,1
PLACE_00076,2025,USN_2025_135,COMP_003,Placed,42.00,GENAI_LLMS,1
PLACE_00077,2024,USN_2025_334,COMP_004,Placed,38.00,PYTHON,0
PLACE_00078,2021,USN_2025_243,COMP_003,Placed,42.00,AWS_CLOUD,1
PLACE_00079,2023,USN_2025_049,COMP_013,Placed,7.00,DATABRICKS_DE,1
PLACE_00080,2020,USN_2025_087,COMP_007,Placed,26.00,REACT,1
PLACE_00081,2021,USN_2025_283,,Not Placed,0.00,PYTHON,1
PLACE_00082,2025,USN_2025_035,COMP_012,Placed,8.50,JAVA_BACKEND,1
PLACE_00083,2023,USN_2025_053,COMP_006,Placed,28.00,CPP,1
PLACE_00084,2023,USN_2025_369,COMP_005,Placed,32.00,JAVA_BACKEND,1
PLACE_00085,2023,USN_2025_357,COMP_010,Placed,18.00,PYTHON,1
PLACE_00086,2022,USN_2025_243,COMP_003,Placed,42.00,AWS_CLOUD,1
PLACE_00087,2022,USN_2025_206,COMP_013,Placed,7.00,PYSPARK,1
PLACE_00088,2023,USN_2025_112,COMP_012,Placed,8.50,SQL,1
PLACE_00089,2025,USN_2025_145,COMP_012,Placed,8.50,JAVA_BACKEND,1
PLACE_00090,2024,USN_2025_418,COMP_013,Placed,7.00,SQL,1
PLACE_00091,2025,USN_2025_272,COMP_012,Placed,8.50,AWS_CLOUD,1
PLACE_00092,2022,USN_2025_406,COMP_013,Placed,7.00,SQL,1
PLACE_00093,2021,USN_2025_179,COMP_010,Placed,18.00,REACT,1
PLACE_00094,2022,USN_2025_009,COMP_008,Placed,24.00,REACT,1
PLACE_00095,2024,USN_2025_193,COMP_013,Placed,7.00,PYTHON,1
PLACE_00096,2020,USN_2025_079,COMP_010,Placed,18.00,DATABRICKS_DE,1
PLACE_00097,2022,USN_2025_215,COMP_012,Placed,8.50,SQL,1
PLACE_00098,2025,USN_2025_111,COMP_009,Placed,20.00,SQL,1
PLACE_00099,2025,USN_2025_082,COMP_003,Placed,42.00,AWS_CLOUD,1
PLACE_00100,2023,USN_2025_387,COMP_013,Placed,7.00,SQL,1
PLACE_00101,2023,USN_2025_462,COMP_002,Placed,45.00,MACHINE_LEARNING,1
PLACE_00102,2023,USN_2025_026,COMP_006,Placed,28.00,MACHINE_LEARNING,1
PLACE_00103,2020,USN_2025_298,COMP_011,Placed,9.00,SQL,1
PLACE_00104,2024,USN_2025_468,COMP_013,Placed,7.00,PYTHON,1
PLACE_00105,2021,USN_2025_268,COMP_009,Placed,20.00,JAVA_BACKEND,1
PLACE_00106,2025,USN_2025_443,COMP_012,Placed,8.50,SQL,1
PLACE_00107,2025,USN_2025_083,COMP_010,Placed,18.00,AWS_CLOUD,1
PLACE_00108,2024,USN_2025_317,COMP_010,Placed,18.00,PYTHON,1
PLACE_00109,2020,USN_2025_159,,Not Placed,0.00,SQL,1
PLACE_00110,2023,USN_2025_403,COMP_011,Placed,9.00,SQL,1
PLACE_00111,2024,USN_2025_253,COMP_006,Placed,28.00,SQL,1
PLACE_00112,2021,USN_2025_399,COMP_012,Placed,8.50,PYTHON,1
PLACE_00113,2023,USN_2025_109,COMP_013,Placed,7.00,PYSPARK,1
PLACE_00114,2021,USN_2025_018,COMP_012,Placed,8.50,JAVA_BACKEND,1
PLACE_00115,2022,USN_2025_143,COMP_003,Placed,42.00,AWS_CLOUD,1
PLACE_00116,2021,USN_2025_329,COMP_013,Placed,7.00,SQL,1
PLACE_00117,2023,USN_2025_446,COMP_011,Placed,9.00,SQL,1
PLACE_00118,2022,USN_2025_425,COMP_003,Placed,42.00,AWS_CLOUD,1
PLACE_00119,2023,USN_2025_263,COMP_004,Placed,38.00,CPP,1
PLACE_00120,2025,USN_2025_341,COMP_013,Placed,7.00,PYTHON,1
PLACE_00121,2023,USN_2025_289,,Not Placed,0.00,MACHINE_LEARNING,1
PLACE_00122,2022,USN_2025_262,COMP_010,Placed,18.00,PYTHON,1
PLACE_00123,2021,USN_2025_353,COMP_013,Placed,7.00,SQL,1
PLACE_00124,2025,USN_2025_229,COMP_010,Placed,18.00,SQL,1
PLACE_00125,2020,USN_2025_215,COMP_013,Placed,7.00,SQL,1
PLACE_00126,2020,USN_2025_246,COMP_004,Placed,38.00,CPP,1
PLACE_00127,2020,USN_2025_432,COMP_012,Placed,8.50,SQL,1
PLACE_00128,2020,USN_2025_219,COMP_007,Placed,26.00,PYTHON,1
PLACE_00129,2024,USN_2025_039,COMP_007,Placed,26.00,LANGCHAIN,1
PLACE_00130,2020,USN_2025_365,COMP_012,Placed,8.50,JAVA_BACKEND,0
PLACE_00131,2022,USN_2025_079,COMP_005,Placed,32.00,SQL,1
PLACE_00132,2020,USN_2025_087,COMP_007,Placed,26.00,REACT,1
PLACE_00133,2023,USN_2025_068,COMP_002,Placed,45.00,PYTHON,1
PLACE_00134,2020,USN_2025_428,COMP_013,Placed,7.00,PYSPARK,1
PLACE_00135,2021,USN_2025_167,COMP_009,Placed,20.00,PYTHON,1
PLACE_00136,2022,USN_2025_137,COMP_011,Placed,9.00,REACT,1
PLACE_00137,2022,USN_2025_471,COMP_004,Placed,38.00,COMPUTER_VISION,1
PLACE_00138,2025,USN_2025_432,COMP_013,Placed,7.00,PYSPARK,1
PLACE_00139,2024,USN_2025_253,COMP_005,Placed,32.00,SQL,1
PLACE_00140,2023,USN_2025_298,COMP_012,Placed,8.50,SQL,1
PLACE_00141,2022,USN_2025_156,COMP_013,Placed,7.00,SQL,1
PLACE_00142,2021,USN_2025_271,COMP_011,Placed,9.00,PYTHON,1
PLACE_00143,2020,USN_2025_117,COMP_009,Placed,20.00,LANGCHAIN,1
PLACE_00144,2022,USN_2025_226,COMP_012,Placed,8.50,JAVA_BACKEND,1
PLACE_00145,2021,USN_2025_340,COMP_011,Placed,9.00,SQL,1
PLACE_00146,2020,USN_2025_185,COMP_013,Placed,7.00,SQL,1
PLACE_00147,2024,USN_2025_138,COMP_013,Placed,7.00,SQL,1
PLACE_00148,2022,USN_2025_161,COMP_005,Placed,32.00,JAVA_BACKEND,1
PLACE_00149,2022,USN_2025_021,COMP_013,Placed,7.00,PYSPARK,1
PLACE_00150,2021,USN_2025_380,COMP_012,Placed,8.50,JAVA_BACKEND,1
PLACE_00151,2025,USN_2025_032,COMP_013,Placed,7.00,PYTHON,1
PLACE_00152,2023,USN_2025_250,COMP_012,Placed,8.50,JAVA_BACKEND,1
PLACE_00153,2024,USN_2025_171,COMP_012,Placed,8.50,SQL,1
PLACE_00154,2023,USN_2025_499,COMP_005,Placed,32.00,NLP,1
PLACE_00155,2022,USN_2025_487,COMP_011,Placed,9.00,PYTHON,1
PLACE_00156,2023,USN_2025_421,COMP_010,Placed,18.00,PYTHON,1
PLACE_00157,2020,USN_2025_301,COMP_013,Placed,7.00,CPP,1
PLACE_00158,2024,USN_2025_193,COMP_006,Placed,28.00,PYTHON,1
PLACE_00159,2023,USN_2025_184,COMP_013,Placed,7.00,PYTHON,1
PLACE_00160,2020,USN_2025_209,,Not Placed,0.00,AWS_CLOUD,1
PLACE_00161,2021,USN_2025_070,COMP_005,Placed,32.00,SQL,1
PLACE_00162,2023,USN_2025_179,COMP_009,Placed,20.00,JAVA_BACKEND,1
PLACE_00163,2024,USN_2025_242,,Not Placed,0.00,LANGCHAIN,1
PLACE_00164,2020,USN_2025_026,COMP_003,Placed,42.00,PYTHON,1
PLACE_00165,2023,USN_2025_186,COMP_003,Placed,42.00,GENAI_LLMS,1
PLACE_00166,2021,USN_2025_434,COMP_009,Placed,20.00,PYTHON,1
PLACE_00167,2023,USN_2025_196,COMP_013,Placed,7.00,SQL,1
PLACE_00168,2020,USN_2025_120,COMP_013,Placed,7.00,PYSPARK,1
PLACE_00169,2023,USN_2025_244,COMP_004,Placed,38.00,MACHINE_LEARNING,1
PLACE_00170,2024,USN_2025_037,COMP_013,Placed,7.00,VECTOR_DATABASES,1
PLACE_00171,2022,USN_2025_185,COMP_013,Placed,7.00,SQL,1
PLACE_00172,2020,USN_2025_351,COMP_013,Placed,7.00,SQL,1
PLACE_00173,2020,USN_2025_042,COMP_005,Placed,32.00,AWS_CLOUD,1
PLACE_00174,2020,USN_2025_047,COMP_010,Placed,18.00,AWS_CLOUD,1
PLACE_00175,2020,USN_2025_199,COMP_010,Placed,18.00,PYSPARK,1
PLACE_00176,2023,USN_2025_131,COMP_011,Placed,9.00,SQL,1
PLACE_00177,2024,USN_2025_434,COMP_009,Placed,20.00,PYTHON,1
PLACE_00178,2021,USN_2025_419,COMP_010,Placed,18.00,PYTHON,1
PLACE_00179,2024,USN_2025_391,COMP_013,Placed,7.00,SQL,1
PLACE_00180,2020,USN_2025_495,COMP_002,Placed,45.00,DEEP_LEARNING,1
PLACE_00181,2025,USN_2025_292,COMP_013,Placed,7.00,SQL,1
PLACE_00182,2023,USN_2025_365,COMP_011,Placed,9.00,PYTHON,0
PLACE_00183,2025,USN_2025_069,COMP_008,Placed,24.00,SQL,1
PLACE_00184,2023,USN_2025_298,COMP_011,Placed,9.00,SQL,1
PLACE_00185,2020,USN_2025_183,COMP_005,Placed,32.00,JAVA_BACKEND,1
PLACE_00186,2023,USN_2025_201,,Not Placed,0.00,CPP,1
PLACE_00187,2020,USN_2025_283,COMP_013,Placed,7.00,PYTHON,1
PLACE_00188,2024,USN_2025_197,,Not Placed,0.00,DATABRICKS_DE,1
PLACE_00189,2022,USN_2025_259,COMP_009,Placed,20.00,JAVA_BACKEND,1
PLACE_00190,2023,USN_2025_476,COMP_005,Placed,32.00,SQL,1
PLACE_00191,2020,USN_2025_217,COMP_010,Placed,18.00,AWS_CLOUD,1
PLACE_00192,2025,USN_2025_423,COMP_005,Placed,32.00,AWS_CLOUD,1
PLACE_00193,2020,USN_2025_370,COMP_005,Placed,32.00,SQL,1
PLACE_00194,2025,USN_2025_191,COMP_008,Placed,24.00,REACT,1
PLACE_00195,2023,USN_2025_442,COMP_011,Placed,9.00,MACHINE_LEARNING,1
PLACE_00196,2021,USN_2025_466,COMP_002,Placed,45.00,MACHINE_LEARNING,1
PLACE_00197,2025,USN_2025_400,COMP_002,Placed,45.00,DEEP_LEARNING,1
PLACE_00198,2020,USN_2025_247,COMP_012,Placed,8.50,JAVA_BACKEND,1
PLACE_00199,2023,USN_2025_190,COMP_012,Placed,8.50,REACT,1
PLACE_00200,2020,USN_2025_476,COMP_007,Placed,26.00,COMPUTER_VISION,1
PLACE_00201,2021,USN_2025_392,COMP_010,Placed,18.00,PYTHON,1
PLACE_00202,2022,USN_2025_235,COMP_001,Placed,48.00,VECTOR_DATABASES,1
PLACE_00203,2021,USN_2025_103,COMP_003,Placed,42.00,AWS_CLOUD,1
PLACE_00204,2024,USN_2025_114,COMP_012,Placed,8.50,SQL,1
PLACE_00205,2023,USN_2025_173,COMP_011,Placed,9.00,SQL,1
PLACE_00206,2021,USN_2025_050,COMP_010,Placed,18.00,PYTHON,1
PLACE_00207,2022,USN_2025_373,COMP_010,Placed,18.00,PYTHON,1
PLACE_00208,2020,USN_2025_405,COMP_010,Placed,18.00,AWS_CLOUD,1
PLACE_00209,2023,USN_2025_301,COMP_012,Placed,8.50,GENAI_LLMS,1
PLACE_00210,2025,USN_2025_052,COMP_001,Placed,48.00,PYSPARK,1
PLACE_00211,2021,USN_2025_270,COMP_011,Placed,9.00,PYTHON,1
PLACE_00212,2022,USN_2025_185,,Not Placed,0.00,SQL,1
PLACE_00213,2021,USN_2025_482,COMP_002,Placed,45.00,PYTHON,1
PLACE_00214,2024,USN_2025_259,COMP_003,Placed,42.00,JAVA_BACKEND,1
PLACE_00215,2023,USN_2025_418,COMP_011,Placed,9.00,PYTHON,1
PLACE_00216,2020,USN_2025_021,COMP_012,Placed,8.50,AWS_CLOUD,1
PLACE_00217,2022,USN_2025_172,COMP_006,Placed,28.00,CPP,1
PLACE_00218,2021,USN_2025_236,COMP_005,Placed,32.00,REACT,1
PLACE_00219,2023,USN_2025_332,COMP_013,Placed,7.00,PYTHON,1
PLACE_00220,2021,USN_2025_359,COMP_012,Placed,8.50,MACHINE_LEARNING,1
PLACE_00221,2023,USN_2025_491,COMP_003,Placed,42.00,PYTHON,1
PLACE_00222,2024,USN_2025_163,COMP_005,Placed,32.00,PYTHON,1
PLACE_00223,2021,USN_2025_397,COMP_013,Placed,7.00,SQL,1
PLACE_00224,2024,USN_2025_097,COMP_009,Placed,20.00,JAVA_BACKEND,1
PLACE_00225,2025,USN_2025_145,COMP_013,Placed,7.00,LANGCHAIN,1
PLACE_00226,2025,USN_2025_185,COMP_013,Placed,7.00,SQL,1
PLACE_00227,2022,USN_2025_450,COMP_009,Placed,20.00,PYTHON,1
PLACE_00228,2024,USN_2025_204,COMP_011,Placed,9.00,PYTHON,1
PLACE_00229,2023,USN_2025_084,COMP_008,Placed,24.00,DATABRICKS_DE,1
PLACE_00230,2022,USN_2025_181,COMP_013,Placed,7.00,PYTHON,1
PLACE_00231,2021,USN_2025_106,COMP_003,Placed,42.00,SQL,1
PLACE_00232,2021,USN_2025_487,COMP_005,Placed,32.00,NLP,1
PLACE_00233,2023,USN_2025_274,COMP_009,Placed,20.00,JAVA_BACKEND,1
PLACE_00234,2020,USN_2025_116,COMP_012,Placed,8.50,SQL,1
PLACE_00235,2020,USN_2025_254,COMP_009,Placed,20.00,JAVA_BACKEND,1
PLACE_00236,2021,USN_2025_305,COMP_013,Placed,7.00,PYTHON,1
PLACE_00237,2023,USN_2025_257,COMP_010,Placed,18.00,PYTHON,1
PLACE_00238,2020,USN_2025_050,COMP_013,Placed,7.00,PYTHON,1
PLACE_00239,2024,USN_2025_305,COMP_013,Placed,7.00,PYTHON,1
PLACE_00240,2021,USN_2025_388,COMP_009,Placed,20.00,PYTHON,1
PLACE_00241,2025,USN_2025_193,COMP_006,Placed,28.00,PYTHON,1
PLACE_00242,2024,USN_2025_134,,Not Placed,0.00,GENAI_LLMS,1
PLACE_00243,2023,USN_2025_365,COMP_013,Placed,7.00,PYTHON,0
PLACE_00244,2025,USN_2025_171,COMP_007,Placed,26.00,GENAI_LLMS,1
PLACE_00245,2024,USN_2025_419,COMP_010,Placed,18.00,PYTHON,1
PLACE_00246,2020,USN_2025_399,,Not Placed,0.00,DEEP_LEARNING,1
PLACE_00247,2020,USN_2025_325,COMP_013,Placed,7.00,PYSPARK,1
PLACE_00248,2025,USN_2025_304,COMP_013,Placed,7.00,PYTHON,1
PLACE_00249,2022,USN_2025_254,COMP_008,Placed,24.00,JAVA_BACKEND,1
PLACE_00250,2021,USN_2025_410,COMP_012,Placed,8.50,SQL,1
PLACE_00251,2025,USN_2025_393,COMP_005,Placed,32.00,AWS_CLOUD,1
PLACE_00252,2023,USN_2025_108,COMP_011,Placed,9.00,PYTHON,1
PLACE_00253,2021,USN_2025_404,COMP_012,Placed,8.50,AWS_CLOUD,1
PLACE_00254,2024,USN_2025_364,COMP_013,Placed,7.00,SQL,1
PLACE_00255,2023,USN_2025_014,COMP_013,Placed,7.00,SQL,1
PLACE_00256,2023,USN_2025_353,COMP_013,Placed,7.00,PYTHON,1
PLACE_00257,2020,USN_2025_258,COMP_004,Placed,38.00,CPP,1
PLACE_00258,2024,USN_2025_465,COMP_011,Placed,9.00,MACHINE_LEARNING,1
PLACE_00259,2020,USN_2025_216,COMP_008,Placed,24.00,REACT,1
PLACE_00260,2020,USN_2025_275,COMP_012,Placed,8.50,JAVA_BACKEND,1
PLACE_00261,2022,USN_2025_372,,Not Placed,0.00,COMPUTER_VISION,1
PLACE_00262,2020,USN_2025_255,COMP_010,Placed,18.00,DATABRICKS_DE,1
PLACE_00263,2021,USN_2025_322,COMP_013,Placed,7.00,SQL,1
PLACE_00264,2023,USN_2025_159,COMP_011,Placed,9.00,SQL,1
PLACE_00265,2020,USN_2025_112,COMP_011,Placed,9.00,SQL,1
PLACE_00266,2025,USN_2025_087,COMP_010,Placed,18.00,PYTHON,1
PLACE_00267,2021,USN_2025_303,COMP_013,Placed,7.00,PYTHON,1
PLACE_00268,2024,USN_2025_022,COMP_011,Placed,9.00,SQL,1
PLACE_00269,2023,USN_2025_402,COMP_013,Placed,7.00,PYTHON,1
PLACE_00270,2025,USN_2025_330,COMP_005,Placed,32.00,SQL,1
PLACE_00271,2025,USN_2025_197,COMP_013,Placed,7.00,PYTHON,1
PLACE_00272,2024,USN_2025_153,COMP_011,Placed,9.00,SQL,1
PLACE_00273,2025,USN_2025_102,COMP_008,Placed,24.00,GENAI_LLMS,1
PLACE_00274,2021,USN_2025_084,COMP_013,Placed,7.00,SQL,1
PLACE_00275,2024,USN_2025_121,COMP_002,Placed,45.00,VECTOR_DATABASES,1
PLACE_00276,2025,USN_2025_378,COMP_012,Placed,8.50,JAVA_BACKEND,1
PLACE_00277,2024,USN_2025_476,COMP_005,Placed,32.00,SQL,1
PLACE_00278,2024,USN_2025_089,COMP_009,Placed,20.00,SQL,1
PLACE_00279,2020,USN_2025_382,COMP_011,Placed,9.00,MACHINE_LEARNING,1
PLACE_00280,2020,USN_2025_152,COMP_012,Placed,8.50,REACT,1
PLACE_00281,2020,USN_2025_098,COMP_009,Placed,20.00,SQL,1
PLACE_00282,2025,USN_2025_067,COMP_012,Placed,8.50,SQL,1
PLACE_00283,2023,USN_2025_428,COMP_013,Placed,7.00,PYTHON,1
PLACE_00284,2021,USN_2025_353,COMP_013,Placed,7.00,SQL,1
PLACE_00285,2025,USN_2025_436,COMP_005,Placed,32.00,SQL,1
PLACE_00286,2020,USN_2025_205,COMP_005,Placed,32.00,SQL,1
PLACE_00287,2024,USN_2025_009,COMP_002,Placed,45.00,GENAI_LLMS,1
PLACE_00288,2025,USN_2025_321,COMP_007,Placed,26.00,GENAI_LLMS,1
PLACE_00289,2024,USN_2025_341,COMP_012,Placed,8.50,AWS_CLOUD,1
PLACE_00290,2024,USN_2025_153,COMP_010,Placed,18.00,VECTOR_DATABASES,1
PLACE_00291,2024,USN_2025_141,COMP_012,Placed,8.50,JAVA_BACKEND,1
PLACE_00292,2022,USN_2025_476,COMP_009,Placed,20.00,PYTHON,1
PLACE_00293,2023,USN_2025_266,COMP_012,Placed,8.50,SQL,1
PLACE_00294,2021,USN_2025_234,COMP_013,Placed,7.00,PYTHON,1
PLACE_00295,2021,USN_2025_076,COMP_006,Placed,28.00,SQL,1
PLACE_00296,2020,USN_2025_158,COMP_013,Placed,7.00,SQL,1
PLACE_00297,2022,USN_2025_380,COMP_010,Placed,18.00,AWS_CLOUD,1
PLACE_00298,2025,USN_2025_108,COMP_005,Placed,32.00,SQL,1
PLACE_00299,2025,USN_2025_319,COMP_009,Placed,20.00,SQL,1
PLACE_00300,2021,USN_2025_445,COMP_002,Placed,45.00,DEEP_LEARNING,1
PLACE_00301,2023,USN_2025_388,COMP_010,Placed,18.00,PYTHON,1
PLACE_00302,2024,USN_2025_049,COMP_013,Placed,7.00,REACT,1
PLACE_00303,2020,USN_2025_035,COMP_013,Placed,7.00,DATABRICKS_DE,1
PLACE_00304,2023,USN_2025_007,COMP_007,Placed,26.00,CPP,1
PLACE_00305,2021,USN_2025_325,COMP_013,Placed,7.00,SQL,1
PLACE_00306,2022,USN_2025_202,COMP_005,Placed,32.00,JAVA_BACKEND,1
PLACE_00307,2020,USN_2025_288,COMP_002,Placed,45.00,SQL,1
PLACE_00308,2021,USN_2025_052,COMP_001,Placed,48.00,PYSPARK,1
PLACE_00309,2025,USN_2025_187,COMP_004,Placed,38.00,CPP,1
PLACE_00310,2020,USN_2025_117,COMP_011,Placed,9.00,REACT,1
PLACE_00311,2021,USN_2025_427,COMP_013,Placed,7.00,DEEP_LEARNING,1
PLACE_00312,2025,USN_2025_003,COMP_007,Placed,26.00,CPP,1
PLACE_00313,2025,USN_2025_308,COMP_002,Placed,45.00,AWS_CLOUD,1
PLACE_00314,2024,USN_2025_347,COMP_012,Placed,8.50,SQL,1
PLACE_00315,2022,USN_2025_033,COMP_013,Placed,7.00,PYSPARK,1
PLACE_00316,2024,USN_2025_428,COMP_011,Placed,9.00,PYTHON,1
PLACE_00317,2021,USN_2025_177,COMP_009,Placed,20.00,JAVA_BACKEND,1
PLACE_00318,2023,USN_2025_450,COMP_009,Placed,20.00,SQL,1
PLACE_00319,2024,USN_2025_395,,Not Placed,0.00,SQL,1
PLACE_00320,2023,USN_2025_198,COMP_013,Placed,7.00,PYTHON,1
PLACE_00321,2025,USN_2025_085,COMP_012,Placed,8.50,MACHINE_LEARNING,1
PLACE_00322,2021,USN_2025_223,COMP_003,Placed,42.00,CPP,1
PLACE_00323,2022,USN_2025_341,COMP_013,Placed,7.00,PYTHON,1
PLACE_00324,2023,USN_2025_259,COMP_008,Placed,24.00,JAVA_BACKEND,1
PLACE_00325,2021,USN_2025_231,COMP_001,Placed,48.00,VECTOR_DATABASES,1
PLACE_00326,2023,USN_2025_482,COMP_012,Placed,8.50,MACHINE_LEARNING,1
PLACE_00327,2024,USN_2025_440,,Not Placed,0.00,PYTHON,1
PLACE_00328,2021,USN_2025_030,COMP_011,Placed,9.00,PYTHON,1
PLACE_00329,2024,USN_2025_340,COMP_002,Placed,45.00,DEEP_LEARNING,1
PLACE_00330,2020,USN_2025_346,COMP_013,Placed,7.00,SQL,1
