skill_id,student_id,skill_name,skill_category,proficiency_level,certified_flag
SSK_00061,USN_2025_013,JAVA_BACKEND,Core Engineering,Beginner,false
SSK_00062,USN_2025_013,PYTHON,Core Engineering,Beginner,false
SSK_00063,USN_2025_013,MACHINE_LEARNING,AI / GenAI,Advanced,false
SSK_00064,USN_2025_013,GENAI_LLMS,AI / GenAI,Beginner,false
SSK_00065,USN_2025_014,JAVA_BACKEND,Core Engineering,Advanced,false
SSK_00066,USN_2025_014,SQL,Data Engineering & Cloud,Advanced,false
SSK_00067,USN_2025_014,GENAI_LLMS,AI / GenAI,Intermediate,true
SSK_00068,USN_2025_015,REACT,Core Engineering,Intermediate,true
SSK_00069,USN_2025_015,CPP,Core Engineering,Intermediate,false
SSK_00070,USN_2025_015,DATABRICKS_DE,Data Engineering & Cloud,Beginner,true
SSK_00071,USN_2025_015,VECTOR_DATABASES,AI / GenAI,Advanced,false
SSK_00072,USN_2025_015,MACHINE_LEARNING,AI / GenAI,Intermediate,true
SSK_00073,USN_2025_016,PYTHON,Core Engineering,Advanced,false
SSK_00074,USN_2025_016,SQL,Data Engineering & Cloud,Beginner,false
SSK_00075,USN_2025_016,PYSPARK,Data Engineering & Cloud,Advanced,false
SSK_00076,USN_2025_016,MACHINE_LEARNING,AI / GenAI,Advanced,false
SSK_00077,USN_2025_016,DATABRICKS_DE,Data Engineering & Cloud,Intermediate,false
SSK_00078,USN_2025_017,PYTHON,Core Engineering,Advanced,true
SSK_00079,USN_2025_017,JAVA_BACKEND,Core Engineering,Intermediate,true
SSK_00080,USN_2025_017,DATABRICKS_DE,Data Engineering & Cloud,Beginner,false
SSK_00081,USN_2025_017,AWS_CLOUD,Data Engineering & Cloud,Advanced,true
SSK_00082,USN_2025_018,JAVA_BACKEND,Core Engineering,Advanced,false
SSK_00083,USN_2025_018,PYTHON,Core Engineering,Advanced,false
SSK_00084,USN_2025_018,PYSPARK,Data Engineering & Cloud,Beginner,true
SSK_00085,USN_2025_018,GENAI_LLMS,AI / GenAI,Beginner,true
SSK_00086,USN_2025_019,JAVA_BACKEND,Core Engineering,Beginner,false
SSK_00087,USN_2025_019,SQL,Data Engineering & Cloud,Beginner,false
SSK_00088,USN_2025_019,PYSPARK,Data Engineering & Cloud,Intermediate,false
SSK_00089,USN_2025_020,SQL,Data Engineering & Cloud,Beginner,true
SSK_00090,USN_2025_020,CPP,Core Engineering,Advanced,false
SSK_00091,USN_2025_020,LANGCHAIN,AI / GenAI,Beginner,false
SSK_00092,USN_2025_020,MACHINE_LEARNING,AI / GenAI,Beginner,false
SSK_00093,USN_2025_020,AWS_CLOUD,Data Engineering & Cloud,Beginner,true
SSK_00094,USN_2025_020,DATABRICKS_DE,Data Engineering & Cloud,Advanced,false
SSK_00095,USN_2025_021,REACT,Core Engineering,Advanced,false
SSK_00096,USN_2025_021,JAVA_BACKEND,Core Engineering,Intermediate,true
SSK_00097,USN_2025_021,GENAI_LLMS,AI / GenAI,Beginner,false
SSK_00098,USN_2025_021,PYSPARK,Data Engineering & Cloud,Beginner,false
SSK_00099,USN_2025_021,VECTOR_DATABASES,AI / GenAI,Advanced,false
SSK_00100,USN_2025_021,AWS_CLOUD,Data Engineering & Cloud,Intermediate,false
SSK_00101,USN_2025_022,SQL,Data Engineering & Cloud,Beginner,true
SSK_00102,USN_2025_022,CPP,Core Engineering,Beginner,true
SSK_00103,USN_2025_022,VECTOR_DATABASES,AI / GenAI,Beginner,true
SSK_00104,USN_2025_023,SQL,Data Engineering & Cloud,Intermediate,true
SSK_00105,USN_2025_023,PYTHON,Core Engineering,Intermediate,true
SSK_00106,USN_2025_023,VECTOR_DATABASES,AI / GenAI,Beginner,false
SSK_00107,USN_2025_023,AWS_CLOUD,Data Engineering & Cloud,Intermediate,false
SSK_00108,USN_2025_023,MACHINE_LEARNING,AI / GenAI,Advanced,false
SSK_00109,USN_2025_023,PYSPARK,Data Engineering & Cloud,Advanced,false
SSK_00110,USN_2025_024,REACT,Core Engineering,Intermediate,false
SSK_00111,USN_2025_024,SQL,Data Engineering & Cloud,Advanced,true
SSK_00112,USN_2025_024,AWS_CLOUD,Data Engineering & Cloud,Beginner,false
SSK_00113,USN_2025_024,LANGCHAIN,AI / GenAI,Advanced,false
SSK_00114,USN_2025_024,DATABRICKS_DE,Data Engineering & Cloud,Intermediate,true
SSK_00115,USN_2025_024,GENAI_LLMS,AI / GenAI,Intermediate,false
SSK_00116,USN_2025_025,REACT,Core Engineering,Intermediate,false
SSK_00117,USN_2025_025,CPP,Core Engineering,Intermediate,true
SSK_00118,USN_2025_025,PYSPARK,Data Engineering & Cloud,Beginner,false
SSK_00119,USN_2025_026,PYTHON,Core Engineering,Advanced,false
SSK_00120,USN_2025_026,REACT,Core Engineering,Advanced,true
SSK_00121,USN_2025_026,MACHINE_LEARNING,AI / GenAI,Beginner,false
SSK_00122,USN_2025_027,CPP,Core Engineering,Advanced,true
SSK_00123,USN_2025_027,PYTHON,Core Engineering,Beginner,false
SSK_00124,USN_2025_027,VECTOR_DATABASES,AI / GenAI,Intermediate,true
SSK_00125,USN_2025_028,PYTHON,Core Engineering,Advanced,false
SSK_00126,USN_2025_028,SQL,Data Engineering & Cloud,Intermediate,true
SSK_00127,USN_2025_028,MACHINE_LEARNING,AI / GenAI,Intermediate,false
SSK_00128,USN_2025_029,SQL,Data Engineering & Cloud,Advanced,false
SSK_00129,USN_2025_029,JAVA_BACKEND,Core Engineering,Beginner,true
SSK_00130,USN_2025_029,VECTOR_DATABASES,AI / GenAI,Intermediate,false
SSK_00131,USN_2025_029,MACHINE_LEARNING,AI / GenAI,Intermediate,false
SSK_00132,USN_2025_030,CPP,Core Engineering,Beginner,false
SSK_00133,USN_2025_030,PYTHON,Core Engineering,Beginner,false
SSK_00134,USN_2025_030,PYSPARK,Data Engineering & Cloud,Beginner,true
SSK_00135,USN_2025_031,PYTHON,Core Engineering,Beginner,true
SSK_00136,USN_2025_031,SQL,Data Engineering & Cloud,Advanced,true
SSK_00137,USN_2025_031,PYSPARK,Data Engineering & Cloud,Advanced,false
SSK_00138,USN_2025_031,GENAI_LLMS,AI / GenAI,Intermediate,true
SSK_00139,USN_2025_031,VECTOR_DATABASES,AI / GenAI,Intermediate,true
SSK_00140,USN_2025_032,PYTHON,Core Engineering,Intermediate,false
SSK_00141,USN_2025_032,REACT,Core Engineering,Beginner,false
SSK_00142,USN_2025_032,VECTOR_DATABASES,AI / GenAI,Beginner,false
SSK_00143,USN_2025_032,DATABRICKS_DE,Data Engineering & Cloud,Beginner,false
SSK_00144,USN_2025_032,LANGCHAIN,AI / GenAI,Intermediate,false
SSK_00145,USN_2025_032,AWS_CLOUD,Data Engineering & Cloud,Beginner,true
SSK_00146,USN_2025_033,JAVA_BACKEND,Core Engineering,Advanced,false
SSK_00147,USN_2025_033,PYTHON,Core Engineering,Advanced,true
SSK_00148,USN_2025_033,PYSPARK,Data Engineering & Cloud,Advanced,false
SSK_00149,USN_2025_033,MACHINE_LEARNING,AI / GenAI,Beginner,true
SSK_00150,USN_2025_034,REACT,Core Engineering,Intermediate,false
SSK_00151,USN_2025_034,SQL,Data Engineering & Cloud,Intermediate,false
SSK_00152,USN_2025_034,GENAI_LLMS,AI / GenAI,Intermediate,false
SSK_00153,USN_2025_035,JAVA_BACKEND,Core Engineering,Advanced,true
SSK_00154,USN_2025_035,CPP,Core Engineering,Advanced,false
SSK_00155,USN_2025_035,GENAI_LLMS,AI / GenAI,Intermediate,false
SSK_00156,USN_2025_035,DATABRICKS_DE,Data Engineering & Cloud,Intermediate,false
SSK_00157,USN_2025_036,REACT,Core Engineering,Beginner,false
SSK_00158,USN_2025_036,PYTHON,Core Engineering,Intermediate,false
SSK_00159,USN_2025_036,PYSPARK,Data Engineering & Cloud,Intermediate,false
SSK_00160,USN_2025_036,DATABRICKS_DE,Data Engineering & Cloud,Advanced,false
SSK_00161,USN_2025_036,LANGCHAIN,AI / GenAI,Advanced,true
SSK_00162,USN_2025_037,CPP,Core Engineering,Advanced,false
SSK_00163,USN_2025_037,JAVA_BACKEND,Core Engineering,Advanced,false
SSK_00164,USN_2025_037,LANGCHAIN,AI / GenAI,Beginner,false
SSK_00165,USN_2025_037,GENAI_LLMS,AI / GenAI,Beginner,false
SSK_00166,USN_2025_037,VECTOR_DATABASES,AI / GenAI,Intermediate,true
SSK_00167,USN_2025_038,REACT,Core Engineering,Advanced,true
SSK_00168,USN_2025_038,SQL,Data Engineering & Cloud,Intermediate,true
SSK_00169,USN_2025_038,PYSPARK,Data Engineering & Cloud,Advanced,true
SSK_00170,USN_2025_038,AWS_CLOUD,Data Engineering & Cloud,Advanced,false
SSK_00171,USN_2025_038,MACHINE_LEARNING,AI / GenAI,Advanced,true
SSK_00172,USN_2025_038,VECTOR_DATABASES,AI / GenAI,Advanced,false
SSK_00173,USN_2025_039,SQL,Data Engineering & Cloud,Advanced,true
SSK_00174,USN_2025_039,JAVA_BACKEND,Core Engineering,Beginner,false
SSK_00175,USN_2025_039,LANGCHAIN,AI / GenAI,Beginner,false
SSK_00176,USN_2025_039,MACHINE_LEARNING,AI / GenAI,Intermediate,false
SSK_00177,USN_2025_039,AWS_CLOUD,Data Engineering & Cloud,Beginner,true
SSK_00178,USN_2025_039,DATABRICKS_DE,Data Engineering & Cloud,Intermediate,false
SSK_00179,USN_2025_040,REACT,Core Engineering,Beginner,true
SSK_00180,USN_2025_040,PYTHON,Core Engineering,Beginner,false
SSK_00181,USN_2025_040,MACHINE_LEARNING,AI / GenAI,Advanced,false
SSK_00182,USN_2025_040,LANGCHAIN,AI / GenAI,Intermediate,true
SSK_00183,USN_2025_040,VECTOR_DATABASES,AI / GenAI,Beginner,false
SSK_00184,USN_2025_041,REACT,Core Engineering,Advanced,true
SSK_00185,USN_2025_041,CPP,Core Engineering,Advanced,false
SSK_00186,USN_2025_041,MACHINE_LEARNING,AI / GenAI,Beginner,true
SSK_00187,USN_2025_041,AWS_CLOUD,Data Engineering & Cloud,Advanced,false
SSK_00188,USN_2025_041,DATABRICKS_DE,Data Engineering & Cloud,Beginner,false
SSK_00189,USN_2025_041,LANGCHAIN,AI / GenAI,Intermediate,false
SSK_00190,USN_2025_042,PYTHON,Core Engineering,Advanced,true
SSK_00191,USN_2025_042,SQL,Data Engineering & Cloud,Advanced,true
SSK_00192,USN_2025_042,JAVA_BACKEND,Core Engineering,Intermediate,false
SSK_00193,USN_2025_042,AWS_CLOUD,Data Engineering & Cloud,Intermediate,true
SSK_00194,USN_2025_042,REACT,Core Engineering,Intermediate,false
SSK_00195,USN_2025_043,JAVA_BACKEND,Core Engineering,Intermediate,false
SSK_00196,USN_2025_043,PYTHON,Core Engineering,Advanced,false
SSK_00197,USN_2025_043,DATABRICKS_DE,Data Engineering & Cloud,Intermediate,false
SSK_00198,USN_2025_043,GENAI_LLMS,AI / GenAI,Intermediate,false
SSK_00199,USN_2025_044,REACT,Core Engineering,Beginner,true
SSK_00200,USN_2025_044,SQL,Data Engineering & Cloud,Advanced,true
SSK_00201,USN_2025_044,PYSPARK,Data Engineering & Cloud,Beginner,false
SSK_00202,USN_2025_045,REACT,Core Engineering,Advanced,true
SSK_00203,USN_2025_045,PYTHON,Core Engineering,Advanced,false
SSK_00204,USN_2025_045,LANGCHAIN,AI / GenAI,Beginner,false
SSK_00205,USN_2025_046,REACT,Core Engineering,Advanced,true
SSK_00206,USN_2025_046,PYTHON,Core Engineering,Intermediate,false
SSK_00207,USN_2025_046,MACHINE_LEARNING,AI / GenAI,Beginner,false
SSK_00208,USN_2025_046,GENAI_LLMS,AI / GenAI,Advanced,false
SSK_00209,USN_2025_046,VECTOR_DATABASES,AI / GenAI,Beginner,false
SSK_00210,USN_2025_046,AWS_CLOUD,Data Engineering & Cloud,Beginner,true
SSK_00211,USN_2025_047,JAVA_BACKEND,Core Engineering,Beginner,true
SSK_00212,USN_2025_047,CPP,Core Engineering,Intermediate,false
SSK_00213,USN_2025_047,AWS_CLOUD,Data Engineering & Cloud,Beginner,false
SSK_00214,USN_2025_047,MACHINE_LEARNING,AI / GenAI,Intermediate,false
SSK_00215,USN_2025_047,DATABRICKS_DE,Data Engineering & Cloud,Intermediate,false
SSK_00216,USN_2025_048,PYTHON,Core Engineering,Advanced,false
SSK_00217,USN_2025_048,CPP,Core Engineering,Advanced,false
SSK_00218,USN_2025_048,GENAI_LLMS,AI / GenAI,Intermediate,false
SSK_00219,USN_2025_049,JAVA_BACKEND,Core Engineering,Beginner,false
SSK_00220,USN_2025_049,REACT,Core Engineering,Intermediate,false
SSK_00221,USN_2025_049,MACHINE_LEARNING,AI / GenAI,Advanced,true
SSK_00222,USN_2025_049,GENAI_LLMS,AI / GenAI,Advanced,false
SSK_00223,USN_2025_049,DATABRICKS_DE,Data Engineering & Cloud,Beginner,false
SSK_00224,USN_2025_050,PYTHON,Core Engineering,Intermediate,false
SSK_00225,USN_2025_050,REACT,Core Engineering,Intermediate,false
SSK_00226,USN_2025_050,VECTOR_DATABASES,AI / GenAI,Advanced,false
SSK_00227,USN_2025_050,AWS_CLOUD,Data Engineering & Cloud,Beginner,false
SSK_00228,USN_2025_050,MACHINE_LEARNING,AI / GenAI,Advanced,false
SSK_00229,USN_2025_051,PYTHON,Core Engineering,Intermediate,true
SSK_00230,USN_2025_051,REACT,Core Engineering,Intermediate,false
SSK_00231,USN_2025_051,PYSPARK,Data Engineering & Cloud,Advanced,false
SSK_00232,USN_2025_051,LANGCHAIN,AI / GenAI,Beginner,false
SSK_00233,USN_2025_052,JAVA_BACKEND,Core Engineering,Beginner,true
SSK_00234,USN_2025_052,CPP,Core Engineering,Advanced,true
SSK_00235,USN_2025_052,LANGCHAIN,AI / GenAI,Advanced,false
SSK_00236,USN_2025_052,PYSPARK,Data Engineering & Cloud,Advanced,false
SSK_00237,USN_2025_053,REACT,Core Engineering,Intermediate,false
SSK_00238,USN_2025_053,CPP,Core Engineering,Intermediate,true
SSK_00239,USN_2025_053,AWS_CLOUD,Data Engineering & Cloud,Intermediate,false
SSK_00240,USN_2025_053,DATABRICKS_DE,Data Engineering & Cloud,Intermediate,false
SSK_00241,USN_2025_054,CPP,Core Engineering,Intermediate,false
SSK_00242,USN_2025_054,JAVA_BACKEND,Core Engineering,Beginner,false
SSK_00243,USN_2025_054,MACHINE_LEARNING,AI / GenAI,Intermediate,false
SSK_00244,USN_2025_054,PYSPARK,Data Engineering & Cloud,Advanced,false
SSK_00245,USN_2025_054,GENAI_LLMS,AI / GenAI,Intermediate,false
SSK_00246,USN_2025_055,REACT,Core Engineering,Advanced,false
SSK_00247,USN_2025_055,SQL,Data Engineering & Cloud,Advanced,false
SSK_00248,USN_2025_055,MACHINE_LEARNING,AI / GenAI,Beginner,true
SSK_00249,USN_2025_055,GENAI_LLMS,AI / GenAI,Intermediate,false
SSK_00250,USN_2025_055,DATABRICKS_DE,Data Engineering & Cloud,Intermediate,true
SSK_00251,USN_2025_055,LANGCHAIN,AI / GenAI,Advanced,true
SSK_00252,USN_2025_056,JAVA_BACKEND,Core Engineering,Intermediate,true
SSK_00253,USN_2025_056,REACT,Core Engineering,Beginner,false
SSK_00254,USN_2025_056,PYSPARK,Data Engineering & Cloud,Intermediate,true
SSK_00255,USN_2025_057,CPP,Core Engineering,Intermediate,false
SSK_00256,USN_2025_057,JAVA_BACKEND,Core Engineering,Advanced,false
SSK_00257,USN_2025_057,DATABRICKS_DE,Data Engineering & Cloud,Beginner,true
SSK_00258,USN_2025_058,REACT,Core Engineering,Beginner,false
SSK_00259,USN_2025_058,PYTHON,Core Engineering,Intermediate,false
SSK_00260,USN_2025_058,MACHINE_LEARNING,AI / GenAI,Advanced,false
SSK_00261,USN_2025_059,SQL,Data Engineering & Cloud,Intermediate,true
SSK_00262,USN_2025_059,PYTHON,Core Engineering,Advanced,true
SSK_00263,USN_2025_059,MACHINE_LEARNING,AI / GenAI,Advanced,false
SSK_00264,USN_2025_060,PYTHON,Core Engineering,Intermediate,true
SSK_00265,USN_2025_060,REACT,Core Engineering,Advanced,true
SSK_00266,USN_2025_060,LANGCHAIN,AI / GenAI,Intermediate,false
SSK_00267,USN_2025_060,VECTOR_DATABASES,AI / GenAI,Intermediate,false
SSK_00268,USN_2025_061,REACT,Core Engineering,Intermediate,false
SSK_00269,USN_2025_061,JAVA_BACKEND,Core Engineering,Intermediate,true
SSK_00270,USN_2025_061,VECTOR_DATABASES,AI / GenAI,Beginner,false
SSK_00271,USN_2025_062,REACT,Core Engineering,Intermediate,false
SSK_00272,USN_2025_062,SQL,Data Engineering & Cloud,Beginner,false
SSK_00273,USN_2025_062,AWS_CLOUD,Data Engineering & Cloud,Intermediate,false
SSK_00274,USN_2025_063,SQL,Data Engineering & Cloud,Intermediate,false
SSK_00275,USN_2025_063,PYTHON,Core Engineering,Intermediate,false
SSK_00276,USN_2025_063,LANGCHAIN,AI / GenAI,Intermediate,false
SSK_00277,USN_2025_063,VECTOR_DATABASES,AI / GenAI,Advanced,false
SSK_00278,USN_2025_063,DATABRICKS_DE,Data Engineering & Cloud,Advanced,true
SSK_00279,USN_2025_064,SQL,Data Engineering & Cloud,Advanced,true
SSK_00280,USN_2025_064,REACT,Core Engineering,Advanced,false
SSK_00281,USN_2025_064,VECTOR_DATABASES,AI / GenAI,Advanced,false
SSK_00282,USN_2025_064,LANGCHAIN,AI / GenAI,Intermediate,false
SSK_00283,USN_2025_065,JAVA_BACKEND,Core Engineering,Advanced,false
SSK_00284,USN_2025_065,PYTHON,Core Engineering,Advanced,false
SSK_00285,USN_2025_065,PYSPARK,Data Engineering & Cloud,Intermediate,false
SSK_00286,USN_2025_066,PYTHON,Core Engineering,Intermediate,false
SSK_00287,USN_2025_066,SQL,Data Engineering & Cloud,Advanced,false
SSK_00288,USN_2025_066,DATABRICKS_DE,Data Engineering & Cloud,Intermediate,false
SSK_00289,USN_2025_066,MACHINE_LEARNING,AI / GenAI,Advanced,false
SSK_00290,USN_2025_066,GENAI_LLMS,AI / GenAI,Intermediate,false
SSK_00291,USN_2025_066,PYSPARK,Data Engineering & Cloud,Intermediate,false
SSK_00292,USN_2025_067,SQL,Data Engineering & Cloud,Advanced,false
SSK_00293,USN_2025_067,CPP,Core Engineering,Beginner,false
SSK_00294,USN_2025_067,DATABRICKS_DE,Data Engineering & Cloud,Beginner,false
SSK_00295,USN_2025_067,PYSPARK,Data Engineering & Cloud,Beginner,false
SSK_00296,USN_2025_068,PYTHON,Core Engineering,Advanced,false
SSK_00297,USN_2025_068,JAVA_BACKEND,Core Engineering,Advanced,false
SSK_00298,USN_2025_068,VECTOR_DATABASES,AI / GenAI,Beginner,false
SSK_00299,USN_2025_069,PYTHON,Core Engineering,Advanced,false
SSK_00300,USN_2025_069,SQL,Data Engineering & Cloud,Advanced,false
SSK_00301,USN_2025_069,VECTOR_DATABASES,AI / GenAI,Intermediate,false
SSK_00302,USN_2025_069,MACHINE_LEARNING,AI / GenAI,Intermediate,true
SSK_00303,USN_2025_070,JAVA_BACKEND,Core Engineering,Advanced,false
SSK_00304,USN_2025_070,SQL,Data Engineering & Cloud,Beginner,false
SSK_00305,USN_2025_070,DATABRICKS_DE,Data Engineering & Cloud,Beginner,false
SSK_00306,USN_2025_070,PYSPARK,Data Engineering & Cloud,Beginner,false
SSK_00307,USN_2025_071,SQL,Data Engineering & Cloud,Intermediate,true
SSK_00308,USN_2025_071,JAVA_BACKEND,Core Engineering,Beginner,true
SSK_00309,USN_2025_071,PYSPARK,Data Engineering & Cloud,Beginner,false
SSK_00310,USN_2025_072,REACT,Core Engineering,Advanced,true
SSK_00311,USN_2025_072,SQL,Data Engineering & Cloud,Beginner,true
SSK_00312,USN_2025_072,GENAI_LLMS,AI / GenAI,Intermediate,false
SSK_00313,USN_2025_072,MACHINE_LEARNING,AI / GenAI,Beginner,false
SSK_00314,USN_2025_072,LANGCHAIN,AI / GenAI,Advanced,true
SSK_00315,USN_2025_072,DATABRICKS_DE,Data Engineering & Cloud,Advanced,true
SSK_00316,USN_2025_073,SQL,Data Engineering & Cloud,Advanced,true
SSK_00317,USN_2025_073,REACT,Core Engineering,Beginner,false
SSK_00318,USN_2025_073,PYSPARK,Data Engineering & Cloud,Advanced,true
SSK_00319,USN_2025_073,VECTOR_DATABASES,AI / GenAI,Intermediate,true
SSK_00320,USN_2025_073,DATABRICKS_DE,Data Engineering & Cloud,Beginner,false
SSK_00321,USN_2025_073,GENAI_LLMS,AI / GenAI,Advanced,true
SSK_00322,USN_2025_074,SQL,Data Engineering & Cloud,Advanced,false
SSK_00323,USN_2025_074,REACT,Core Engineering,Beginner,false
SSK_00324,USN_2025_074,GENAI_LLMS,AI / GenAI,Advanced,false
SSK_00325,USN_2025_074,MACHINE_LEARNING,AI / GenAI,Advanced,false
SSK_00326,USN_2025_074,VECTOR_DATABASES,AI / GenAI,Beginner,false
SSK_00327,USN_2025_074,DATABRICKS_DE,Data Engineering & Cloud,Intermediate,false
SSK_00328,USN_2025_075,SQL,Data Engineering & Cloud,Advanced,false
SSK_00329,USN_2025_075,PYTHON,Core Engineering,Beginner,false
SSK_00330,USN_2025_075,GENAI_LLMS,AI / GenAI,Beginner,true
SSK_00331,USN_2025_076,CPP,Core Engineering,Beginner,true
SSK_00332,USN_2025_076,SQL,Data Engineering & Cloud,Beginner,true
SSK_00333,USN_2025_076,GENAI_LLMS,AI / GenAI,Advanced,false
SSK_00334,USN_2025_076,LANGCHAIN,AI / GenAI,Intermediate,false
SSK_00335,USN_2025_076,VECTOR_DATABASES,AI / GenAI,Beginner,false
SSK_00336,USN_2025_077,JAVA_BACKEND,Core Engineering,Beginner,true
SSK_00337,USN_2025_077,REACT,Core Engineering,Intermediate,false
SSK_00338,USN_2025_077,VECTOR_DATABASES,AI / GenAI,Advanced,false
SSK_00339,USN_2025_077,AWS_CLOUD,Data Engineering & Cloud,Beginner,false
SSK_00340,USN_2025_078,SQL,Data Engineering & Cloud,Beginner,true
SSK_00341,USN_2025_078,REACT,Core Engineering,Beginner,false
SSK_00342,USN_2025_078,PYSPARK,Data Engineering & Cloud,Beginner,false
SSK_00343,USN_2025_078,DATABRICKS_DE,Data Engineering & Cloud,Beginner,true
SSK_00344,USN_2025_078,MACHINE_LEARNING,AI / GenAI,Intermediate,true
SSK_00345,USN_2025_079,JAVA_BACKEND,Core Engineering,Beginner,false
SSK_00346,USN_2025_079,SQL,Data Engineering & Cloud,Advanced,false
SSK_00347,USN_2025_079,MACHINE_LEARNING,AI / GenAI,Advanced,false
SSK_00348,USN_2025_079,DATABRICKS_DE,Data Engineering & Cloud,Advanced,false
SSK_00349,USN_2025_079,VECTOR_DATABASES,AI / GenAI,Intermediate,false
SSK_00350,USN_2025_080,PYTHON,Core Engineering,Advanced,true
SSK_00351,USN_2025_080,SQL,Data Engineering & Cloud,Advanced,false
SSK_00352,USN_2025_080,VECTOR_DATABASES,AI / GenAI,Advanced,false
